What is the name of REVERSAL pattern?,Quiz1_1,Delfin,Triangle,Tripple bottom,None of these,3,1
What is STANDARD LOT size?,Quiz1_2,1 000 currency units,10 000 currency units,100 000 currency units,Depends on currency,3,2
What is the name of REVERSAL pattern?,Quiz1_3,Flag,Head & Shoulders,House,None of these,2,3
What does the BID price mean?,Quiz1_4,The price you can sell the base currency,The price you can buy the base currency,The price you can buy the counter currency,The price you can sell the counter currency,1,4
If your broker has 100x margin ratio how much do you need in your account to have position $10000?,Quiz1_5,$10 000,$100 ,"$1,000 ",$100 000,2,5
What is the name of this price pattern?,Quiz1_6,Diamant,Head & Shoulders,Double top,Double bottom,3,6
What is PIP?,Quiz1_7,A movement in the price of 100 points,A movement in the price that is less than 10 points,The minimum movement of a currency price,A one-cent movement in the price of USD.,3,7
What is MINI LOT size?,Quiz1_8,1 000 currency units,10 000 currency units,100 000 currency units,Depends on a currency,2,8
In the currency pair GBP/JYP which currency is base?,Quiz1_9,GBP,Neither,Both,JPY,1,9
What is market order?,Quiz1_10,An order that needs to be filled today,An order to buy at the market price,An order to buy and mark the orders,An order to limit the order to certain markets,2,10
